TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
81136,0.97990972,0.302723074,0.947446108,0.067527585,0.949227124,0.020641807,0.874380012,0.683116297,0.971223633,0.254833591,0.142781158,0.393308475,0.188040965,0.959955331,0.037637363,0.025571882,0.141121499,0.66697876,0.934016347,0.251917477,0.921228332,0.960256597,0.429631734,0.063099124,0.293642248
81151,0.979677238,0.303227433,0.948419328,0.067614061,0.949227124,0.021435499,0.875036163,0.681899973,0.971436267,0.253453702,0.143060308,0.388550507,0.188027054,0.960652489,0.037275206,0.025639712,0.142850719,0.664053248,0.933582084,0.252073336,0.920655651,0.960394859,0.430572819,0.063434118,0.292750703
81156,0.979134781,0.304063362,0.949798057,0.067865254,0.949264734,0.022442133,0.874654403,0.680520637,0.971478793,0.252153422,0.143678963,0.383050161,0.188086176,0.961453986,0.036985119,0.025879377,0.14500509,0.659934198,0.932800897,0.252516304,0.919175059,0.960540274,0.431762492,0.063786291,0.292218093
81176,0.978669818,0.304861932,0.951176785,0.06799085,0.949415172,0.02341005,0.874678263,0.679028446,0.971549671,0.250879679,0.144199539,0.377414837,0.188124431,0.962352902,0.036574313,0.026054228,0.147339332,0.655551472,0.931917815,0.252733686,0.917694467,0.9607429,0.432859832,0.064104106,0.291679692
81191,0.97845671,0.305314921,0.952393311,0.067859077,0.949828877,0.024165026,0.875346343,0.677354433,0.971762304,0.249579399,0.144395698,0.371577047,0.187915766,0.96338494,0.035877025,0.026016544,0.149644958,0.651210164,0.930998343,0.252622944,0.916465297,0.961028961,0.433584289,0.064413331,0.290956036
81195,0.978301722,0.305669841,0.953772039,0.067544057,0.950543458,0.024842568,0.876348464,0.675705499,0.972045815,0.248358729,0.144505094,0.36568864,0.187592334,0.964587738,0.03500136,0.025865811,0.152171336,0.646599348,0.930025498,0.252233296,0.915208191,0.961446134,0.43414894,0.064718261,0.290162909
81197,0.978417963,0.305697861,0.954988565,0.06688725,0.951558915,0.02528781,0.878949205,0.674100453,0.972584486,0.247111522,0.14426744,0.360272655,0.187154137,0.965912035,0.033797772,0.025479934,0.154689538,0.642288374,0.929273423,0.251437595,0.914516782,0.962020639,0.434298093,0.065169215,0.289034006
81216,0.977236182,0.308074888,0.956935005,0.067150796,0.950994772,0.026952628,0.883244007,0.671937403,0.972499433,0.245731633,0.145138839,0.356999443,0.18868435,0.966543878,0.033952725,0.026400914,0.15871212,0.636081506,0.927931818,0.251384275,0.913043175,0.962135064,0.436801733,0.064713967,0.289485567
81236,0.976228762,0.310447245,0.958475937,0.067601707,0.950129753,0.028578729,0.886745464,0.669730465,0.972244273,0.244139454,0.145919703,0.353220064,0.190047631,0.966858554,0.034331099,0.027333952,0.16196616,0.630860503,0.926624178,0.251753415,0.911765117,0.961961043,0.43912781,0.064417626,0.290070281
81257,0.975570064,0.311983674,0.959530259,0.067704655,0.949941705,0.029759589,0.889244801,0.668081531,0.972215922,0.242494202,0.146296932,0.349710641,0.190489307,0.967336795,0.034367134,0.027742439,0.164439394,0.626998711,0.925648907,0.251995406,0.91073848,0.962075468,0.44044888,0.064434805,0.29000081
81276,0.974775752,0.313781622,0.960422378,0.067859077,0.949753658,0.031056598,0.891923087,0.666940444,0.972187571,0.240742805,0.146670389,0.347922185,0.190955326,0.967610233,0.034723886,0.028187102,0.166700052,0.624204453,0.924848311,0.252208687,0.9099912,0.962247104,0.441887141,0.064314551,0.289971864
81291,0.974523897,0.314323341,0.960908988,0.067552292,0.950693896,0.031676065,0.892561343,0.666313473,0.972456906,0.238964871,0.146432734,0.345576946,0.189998943,0.968306285,0.034487853,0.027897694,0.167918273,0.622600235,0.924455292,0.252385054,0.90927884,0.962776317,0.441922654,0.064726851,0.288785068
81295,0.97442703,0.314612881,0.961071191,0.06704373,0.951859792,0.032101949,0.893462058,0.666163,0.972910524,0.23702772,0.14583294,0.344834568,0.188670439,0.968947814,0.034266234,0.027346011,0.168654111,0.622431062,0.924406771,0.252311226,0.90908329,0.963501005,0.441560425,0.065117677,0.287204604
81297,0.974078308,0.3152013,0.961395598,0.066899603,0.952724811,0.032779491,0.892680643,0.66593729,0.973052279,0.235143641,0.145583969,0.343265451,0.18746018,0.969435465,0.034340107,0.027040023,0.169259134,0.621876878,0.924130201,0.252741889,0.908196332,0.964027834,0.441542668,0.065534272,0.286064122
