MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
-6.2522,-1.1565,-1.7476,-4.4573,-0.15581,-2.345,-1.2132,1.7913,0.75281,-1.2415,-2.4122,3.9814,0.70452,0.80687,2.0442,-0.63892,1.107,0.098031,1.3441,0.45664,-0.96731,-0.10308,0.68084,-0.27974,-0.83001
-6.2531,-1.1559,-1.7452,-4.4542,-0.15767,-2.3462,-1.2089,1.7955,0.7492,-1.2391,-2.4082,3.9866,0.70297,0.80412,2.0417,-0.6418,1.1064,0.094724,1.3401,0.45342,-0.96372,-0.10048,0.67266,-0.28398,-0.82749
-6.2517,-1.1563,-1.7428,-4.4487,-0.15936,-2.3472,-1.2042,1.8,0.74747,-1.2362,-2.4037,3.9926,0.70127,0.80184,2.0391,-0.64598,1.105,0.092297,1.336,0.44834,-0.95974,-0.098353,0.66568,-0.28833,-0.82508
-6.2544,-1.1575,-1.7398,-4.4452,-0.16075,-2.3474,-1.2039,1.8031,0.74196,-1.2337,-2.3975,3.9964,0.69907,0.7994,2.0379,-0.6494,1.1039,0.089033,1.3348,0.44504,-0.95563,-0.094506,0.65822,-0.29385,-0.82203
-6.2559,-1.1565,-1.7381,-4.4371,-0.16425,-2.348,-1.2005,1.809,0.74141,-1.2308,-2.3928,4.0018,0.69775,0.79603,2.0336,-0.65279,1.1007,0.086266,1.3325,0.44147,-0.95224,-0.092534,0.65278,-0.29723,-0.81914
-6.2531,-1.1563,-1.7388,-4.4283,-0.16633,-2.3481,-1.1968,1.8134,0.74144,-1.2284,-2.3874,4.0075,0.69751,0.79248,2.0291,-0.65545,1.0977,0.085068,1.3292,0.43527,-0.94902,-0.09097,0.64789,-0.30028,-0.81539
-6.2462,-1.1569,-1.7417,-4.4189,-0.16705,-2.3474,-1.1927,1.8164,0.74214,-1.2265,-2.3814,4.0133,0.69835,0.7888,2.0245,-0.65739,1.0949,0.085429,1.325,0.42634,-0.94591,-0.089777,0.64353,-0.30298,-0.81079
-6.2409,-1.1575,-1.7427,-4.4117,-0.16719,-2.3468,-1.1893,1.8189,0.74169,-1.2249,-2.3753,4.018,0.69877,0.78537,2.0211,-0.65879,1.0925,0.084716,1.3211,0.41869,-0.94273,-0.088775,0.63899,-0.30645,-0.80707
-6.237,-1.158,-1.7419,-4.4068,-0.16663,-2.3462,-1.1865,1.8209,0.74009,-1.2233,-2.3692,4.0217,0.69879,0.78218,2.0189,-0.65965,1.0903,0.082896,1.3175,0.41216,-0.93942,-0.088005,0.63432,-0.31066,-0.80416
-6.2349,-1.1585,-1.7391,-4.4043,-0.16552,-2.3457,-1.1843,1.8225,0.73731,-1.2219,-2.363,4.0244,0.69837,0.77924,2.0179,-0.65999,1.0885,0.080096,1.3143,0.40691,-0.93598,-0.087387,0.62952,-0.31567,-0.80211
